[23:13:05] [INFO] received Windows console close event; shutting log-core down
[23:14:29] [INFO] received Windows console close event; shutting log-core down
[23:14:53] [INFO] received Windows console close event; shutting log-core down
[23:16:09] [INFO] received Windows console close event; shutting log-core down
[23:17:06] [INFO] received Windows console close event; shutting log-core down
[23:20:10] [INFO] received Windows console close event; shutting log-core down
[23:22:35] [ERROR] exception 0XE06D7363 (<unknown>) from Unhandled Exception Handler catched; shutting log-core down
[23:22:37] [ERROR] exception 0XE06D7363 (<unknown>) from Unhandled Exception Handler catched; shutting log-core down
[23:22:46] [ERROR] exception 0XE06D7363 (<unknown>) from Unhandled Exception Handler catched; shutting log-core down
[23:23:19] [ERROR] exception 0XE06D7363 (<unknown>) from Unhandled Exception Handler catched; shutting log-core down
[23:23:28] [ERROR] exception 0XE06D7363 (<unknown>) from Unhandled Exception Handler catched; shutting log-core down
[23:23:29] [ERROR] exception 0XE06D7363 (<unknown>) from Unhandled Exception Handler catched; shutting log-core down
[23:23:29] [ERROR] exception 0XE06D7363 (<unknown>) from Unhandled Exception Handler catched; shutting log-core down
[23:23:37] [ERROR] exception 0XE06D7363 (<unknown>) from Unhandled Exception Handler catched; shutting log-core down
[23:23:59] [ERROR] exception 0XE06D7363 (<unknown>) from Unhandled Exception Handler catched; shutting log-core down
[23:55:25] [INFO] received Windows console close event; shutting log-core down
[15:09:56] [INFO] received Windows console close event; shutting log-core down
[17:00:19] [INFO] received Windows console close event; shutting log-core down
[17:40:28] [INFO] received Windows console close event; shutting log-core down
[18:48:51] [INFO] received Windows console close event; shutting log-core down
[18:50:28] [INFO] received Windows console close event; shutting log-core down
[18:53:31] [INFO] received Windows console close event; shutting log-core down
[18:56:47] [INFO] received Windows console close event; shutting log-core down
[19:16:58] [INFO] received Windows console close event; shutting log-core down
[19:17:13] [INFO] received Windows console close event; shutting log-core down
[19:19:28] [INFO] received Windows console close event; shutting log-core down
[19:20:47] [INFO] received Windows console close event; shutting log-core down
[19:23:17] [INFO] received Windows console close event; shutting log-core down
[19:24:29] [INFO] received Windows console close event; shutting log-core down
[19:24:50] [INFO] received Windows console close event; shutting log-core down
[19:28:37] [INFO] received Windows console close event; shutting log-core down
[19:43:10] [INFO] received Windows console close event; shutting log-core down
[19:46:26] [INFO] received Windows console close event; shutting log-core down
[00:09:52] [INFO] received Windows console close event; shutting log-core down
[01:05:04] [INFO] received Windows console close event; shutting log-core down
[01:07:23] [INFO] received Windows console close event; shutting log-core down
[01:10:02] [INFO] received Windows console close event; shutting log-core down
[01:10:33] [INFO] received Windows console close event; shutting log-core down
[01:12:05] [INFO] received Windows console close event; shutting log-core down
[01:16:50] [INFO] received Windows console close event; shutting log-core down
[01:17:47] [INFO] received Windows console close event; shutting log-core down
[01:23:10] [INFO] received Windows console close event; shutting log-core down
[01:24:08] [INFO] received Windows console close event; shutting log-core down
